Rank,Entita,Score_Avg_now 1-H,Score_Avg_now 4-H,Score_Avg_now 7-d,Discover_Score
3,probabili formazioni,68.87931034482759,46.542016806722685,13.18639053254438,43.80628605472276
1,eclissi 29 marzo,35.775862068965516,31.86134453781513,3.671597633136095,43.284436808159896
5,cambio ora 2025,50.68103448275862,29.857142857142858,20.458579881656803,28.639850169681566
40,meteo milano,22.07758620689655,26.34873949579832,25.98224852071006,14.361102210637357
15,viterbo,25.991379310344826,9.329831932773109,27.54733727810651,13.661301045862041
27,sondrio,11.232758620689655,5.359243697478991,37.55029585798816,13.177324327298995
4,scossa terremoto myanmar,7.681034482758621,12.235294117647058,4.502958579881657,10.582625761075397
11,allerta vento,49.83620689655172,15.373949579831933,7.236686390532544,9.501618892757527
21,ghibli,22.78448275862069,16.80672268907563,10.718934911242604,9.228491044930827
8,assalto portavalori,9.560344827586206,8.239495798319329,5.1360946745562135,6.542613177167182
13,napoli milan,15.077586206896552,7.586134453781513,7.798816568047338,6.208637773025404
29,valtellina,7.146551724137931,3.6911764705882355,15.745562130177515,6.008689384201035
18,lecce roma,3.724137931034483,4.365546218487395,11.14792899408284,5.608360482051878
6,andrea pucci,1.1982758620689655,2.476890756302521,5.411242603550296,4.567597000389645
2,spezia - brescia,0.0,1.3739495798319328,3.5295857988165684,4.461814578871579
41,inps cedolino pensione,0.0,0.39285714285714285,14.118343195266274,4.149965599486928
12,probabili formazioni serie a,5.0,2.4558823529411766,5.038461538461538,3.3117004305337803
30,venezia bologna,7.043103448275862,1.3319327731092439,8.476331360946745,3.1474386741858753
34,taylor fritz,2.0172413793103448,3.0294117647058822,6.707100591715976,3.01982033003095
16,pilar fogliati,1.6810344827586206,6.327731092436975,2.7011834319526624,2.961526524724648
31,como empoli,1.913793103448276,2.0168067226890756,4.840236686390533,2.2594676545022474
25,inter udinese,1.7586206896551724,1.5273109243697478,4.828402366863905,2.248100156299039
33,ciclismo oggi,1.1637931034482758,0.5273109243697479,6.3609467455621305,2.236940214951647
44,new zealand vs pakistan,8.931034482758621,3.9558823529411766,3.4201183431952664,2.0178238841903564
7,gil vicente - benfica,0.33620689655172414,0.23949579831932774,3.3431952662721898,1.8993391986685322
26,miami open 2025 tabellone,0.0,0.0,4.461538461538462,1.6137573275259747
28,sbk orari,1.603448275862069,0.6218487394957983,3.2011834319526624,1.2790923828999612
10,leverkusen - bochum,0.0,0.34243697478991597,2.3609467455621305,1.2104448484838817
9,cittadinanza italiana ius sanguinis,0.75,0.3865546218487395,1.9142011834319526,1.0477834698420858
45,eid ul fitr 2025,0.8362068965517241,0.6428571428571429,2.878698224852071,1.042369631516486
37,perugia - pineto,0.41379310344827586,0.23529411764705882,3.005917159763314,1.0335100681728508
35,castello sforzesco,0.43103448275862066,0.9663865546218489,2.094674556213018,0.9248148660760591
19,sciopero treni aprile 2025,0.9396551724137931,0.7878151260504201,1.5650887573964498,0.8255590303933118
20,richard jewell,0.5258620689655172,0.7878151260504203,1.502958579881657,0.7931062755786323
23,le assaggiatrici (film),2.793103448275862,0.39915966386554624,1.837278106508876,0.7893069629078308
47,oroscopo paolo fox capricorno,0.0,0.1869747899159664,2.393491124260355,0.7858005378756335
14,fulham - crystal palace,12.086206896551724,2.670168067226891,0.1893491124260355,0.7026577001118576
43,alba berlino - virtus bologna,0.0,0.07142857142857142,2.13905325443787,0.7017530589844049
32,brigitte bardot,4.508620689655173,1.2289915966386555,0.8431952662721893,0.5977559843962555
17,federico faggin,0.0,0.0,1.0443786982248522,0.47310846008356006
48,muhammad abbas,0.0,0.13655462184873948,1.2899408284023668,0.4705107069533773
24,wind warning,0.0,0.0,0.7366863905325444,0.3492409278101721
22,joao felix,0.7672413793103449,0.6008403361344538,0.3254437869822485,0.34651860678145496
38,pelicans - warriors,0.0,0.0,0.7692307692307692,0.32813755007673717
50,nuggets - jazz,0.49137931034482757,0.4411764705882353,0.5118343195266273,0.3246793305136481
42,the voice senior 2025,0.7155172413793104,0.26260504201680673,0.4230769230769231,0.28105838598301475
46,modena catanzaro,0.0,0.42857142857142855,0.2455621301775148,0.25747331199678675
36,fabio balaso,0.8620689655172413,0.35504201680672265,0.23076923076923078,0.25167104564938514
39,diego armando maradona,0.8620689655172413,0.273109243697479,0.27514792899408286,0.2475090264794751
49,joël dicker,0.9396551724137931,0.0,0.09171597633136094,0.15260685509620986
51,aspromonte,0.0,0.0,0.0,0.12748206434910195
52,pistons - cavaliers,0.0,0.0,0.0,0.12716738907202113
53,picierno,0.0,0.0,0.0,0.12686021143920512
54,orari motogp,0.0,0.0,0.0,0.12656021288744118
55,polizze catastrofali proroga,0.0,0.0,0.0,0.12626709406233544
56,anticipazioni il paradiso delle signore,0.0,0.0,0.0,0.12598057333163432
57,anticipazioni upas un posto al sole,0.0,0.0,0.0,0.1257003854380681
58,terence hill,0.0,0.0,0.0,0.12542628027641056
59,belve,0.0,0.0,0.0,0.12515802178136212
60,arzignano valchiampo - renate,0.0,0.0,0.0,0.12489538691450888
61,groenlandia,0.0,0.0,0.0,0.12463816474003105
62,ultimi sondaggi politici,0.0,0.0,0.0,0.12438615558006041
63,rcb vs csk,0.0,0.0,0.0,0.12413917024165175
64,probabili formazioni gazzetta,0.0,0.0,0.0,0.12389702930825783
65,programmi tv stasera prima serata,0.0,0.0,0.0,0.1236595624894035
66,the town,0.0,0.0,0.0,0.12342660802295771
67,pianese - pontedera,0.0,0.0,0.0,0.12319801212501763
68,djuric,0.0,0.0,0.0,0.1229736284829599
69,eid al fitr 2025 italia,0.0,0.0,0.0,0.12275331778768661
70,bodrum - fenerbahçe,0.0,0.0,0.0,0.1225369473015127
71,michael magnesi,0.0,0.0,0.0,0.12232439045850875
72,latte crudo,0.0,0.0,0.0,0.12211552649443932
73,tradimento,0.0,0.0,0.0,0.12191024010372484
74,bucks - knicks,0.0,0.0,0.0,0.12170842112111058
75,michela moioli,0.0,0.0,0.0,0.12150996422595373
76,mission impossible,0.0,0.0,0.0,0.12131476866724165
77,vanuatu,0.0,0.0,0.0,0.1211227380076341
78,sex and the city,0.0,0.0,0.0,0.12093377988498329
79,pierpaolo uomini e donne,0.0,0.0,0.0,0.12074780578993015
80,kit sopravvivenza 72 ore,0.0,0.0,0.0,0.12056473085830295
81,meta al su whatsapp,0.0,0.0,0.0,0.12038447367716024
82,liam neeson,0.0,0.0,0.0,0.1202069561034244
83,beppe severgnini,0.0,0.0,0.0,0.12003210309414468
84,f1 giappone,0.0,0.0,0.0,0.11985984254751274
85,babygirl,0.0,0.0,0.0,0.11969010515383002
86,allegri roma,0.0,0.0,0.0,0.11952282425569376
87,denzel washington,0.0,0.0,0.0,0.11935793571673116
88,meteo milano oggi,0.0,0.0,0.0,0.11919537779826668
89,xai,0.0,0.0,0.0,0.11903509104335824
90,nets - clippers,0.0,0.0,0.0,0.11887701816768416
91,luciano darderi,0.0,0.0,0.0,0.11872110395680456
92,tommaso cassissa,0.0,0.0,0.0,0.11856729516935871
93,carlo ancelotti,0.0,0.0,0.0,0.11841554044579458
94,timberwolves - suns,0.0,0.0,0.0,0.11826579022225828
95,e3 saxo classic 2025,0.0,0.0,0.0,0.11811799664929994
96,universitario - sport huancayo,0.0,0.0,0.0,0.11797211351507844
97,previsioni meteo,0.0,0.0,0.0,0.11782809617277233
98,orario,0.0,0.0,0.0,0.11768590147192458
99,queen,0.0,0.0,0.0,0.117545487693471
100,dimitrov,0.0,0.0,0.0,0.1174068144882187
101,patti smith,0.0,0.0,0.0,0.11726984281855898
102,vance,0.0,0.0,0.0,0.11713453490321421
103,andrea pisani,0.0,0.0,0.0,0.11700085416483254
104,penelope cruz,0.0,0.0,0.0,0.11686876518025725
105,costanza fiction,0.0,0.0,0.0,0.11673823363331018
106,grigor dimitrov,0.0,0.0,0.0,0.11660922626993882
107,maradona,0.0,0.0,0.0,0.11648171085558807
108,meteo brescia,0.0,0.0,0.0,0.11635565613466622
109,enzo bearzot,0.0,0.0,0.0,0.1162310317919839
110,bayer leverkusen,0.0,0.0,0.0,0.11610780841605253
111,rocco papaleo,0.0,0.0,0.0,0.11598595746413704
112,partite oggi diretta,0.0,0.0,0.0,0.11586545122896322
113,tom cruise,0.0,0.0,0.0,0.11574626280698765
114,moglie brignano,0.0,0.0,0.0,0.11562836606814388
115,lauren sánchez,0.0,0.0,0.0,0.11551173562698316
116,re carlo iii,0.0,0.0,0.0,0.11539634681513465
117,michelle hunziker,0.0,0.0,0.0,0.11528217565501304
118,woke,0.0,0.0,0.0,0.11516919883470787
119,ben affleck,0.0,0.0,0.0,0.11505739368399082
120,novara,0.0,0.0,0.0,0.11494673815138318
121,millionday,0.0,0.0,0.0,0.11483721078222732
122,orvieto,0.0,0.0,0.0,0.11472879069771086
123,francesca cipriani,0.0,0.0,0.0,0.11462145757479461
124,stefania cappa,0.0,0.0,0.0,0.11451519162699778
125,rachel zegler,0.0,0.0,0.0,0.11440997358599793
126,rush hour,0.0,0.0,0.0,0.11430578468400439
127,balestrate,0.0,0.0,0.0,0.11420260663686677
128,antonio di bella,0.0,0.0,0.0,0.11410042162788261
129,monica maggioni,0.0,0.0,0.0,0.11399921229226986
130,luca argentero,0.0,0.0,0.0,0.11389896170227155
131,val kilmer,0.0,0.0,0.0,0.11379965335286309
132,twitter down,0.0,0.0,0.0,0.11370127114803248
133,bezos matrimonio,0.0,0.0,0.0,0.11360379938760694
134,achille lauro,0.0,0.0,0.0,0.11350722275459996
135,massimiliano bruno,0.0,0.0,0.0,0.11341152630305443
136,raul cremona,0.0,0.0,0.0,0.11331669544635907
137,gianmarco tognazzi,0.0,0.0,0.0,0.11322271594601621
138,hong kong,0.0,0.0,0.0,0.11312957390084036
139,taken,0.0,0.0,0.0,0.11303725573656806
140,downton abbey 3,0.0,0.0,0.0,0.11294574819586044
141,swa,0.0,0.0,0.0,0.11285503832868103
142,brian may,0.0,0.0,0.0,0.11276511348303216
143,prezzo oro,0.0,0.0,0.0,0.11267596129603387
144,corsa contro il tempo,0.0,0.0,0.0,0.112587569685331
145,strasburgo lione,0.0,0.0,0.0,0.11249992684081335
146,geppi cucciari,0.0,0.0,0.0,0.11241302121663614
147,paolo villaggio,0.0,0.0,0.0,0.11232684152352747
148,sezione 8 film,0.0,0.0,0.0,0.11224137672137072
149,cracco,0.0,0.0,0.0,0.11215661601205026
150,termoli,0.0,0.0,0.0,0.11207254883254941
151,favignana,0.0,0.0,0.0,0.11198916484829012
152,schumacher,0.0,0.0,0.0,0.11190645394670419
153,sri lanka,0.0,0.0,0.0,0.11182440623102707
154,andrea belotti,0.0,0.0,0.0,0.11174301201430423
155,quando esce mare fuori 6,0.0,0.0,0.0,0.11166226181360236
156,range rover,0.0,0.0,0.0,0.11158214634441663
157,الزمالك ضد سيراميكا كليوباترا,0.0,0.0,0.0,0.11150265651526611
158,civita castellana,0.0,0.0,0.0,0.1114237834224703
159,arkadiusz milik,0.0,0.0,0.0,0.11134551834509902
160,valerio aprea,0.0,0.0,0.0,0.1112678527400893
161,ferrovie dello stato,0.0,0.0,0.0,0.1111907782375225
162,estrazione superenalotto,0.0,0.0,0.0,0.1111142866360556
163,galeazzo bignami,0.0,0.0,0.0,0.11103836989850041
164,luisa ranieri,0.0,0.0,0.0,0.11096302014754543
