Entita,Score_now_1-H_Run1,Score_now_4-H_Run1,Score_now_7-d_Run1
espanyol - barcellona,50.310344827586206,41.84873949579832,5.1301775147929
nuove accise carburanti,0.0,1.1638655462184875,8.177514792899409
rayo vallecano - betis,0.0,0.5252100840336135,2.9171597633136095
coco gauff,2.9482758620689653,1.218487394957983,5.544378698224852
osasuna - atlético madrid,0.0,0.0,3.9171597633136095
gauff,27.913793103448278,22.222689075630253,5.284023668639053
nuggets - thunder,18.103448275862068,13.138655462184873,7.615384615384615
paul tennis,0.0,0.6512605042016807,2.5088757396449703
luca palamara,0.0,0.0,3.2485207100591715
getafe - atletico bilbao,2.9827586206896552,1.6302521008403361,1.0710059171597632
bonus giovani 2025,3.9655172413793105,0.13025210084033614,0.8816568047337278
espanyol vs barcelona,1.7241379310344827,0.36554621848739494,2.3195266272189348
america's cup,1.7241379310344827,0.0546218487394958,4.769230769230769
silvia sardone,0.0,0.2857142857142857,0.1301775147928994
stefania camboni,0.0,0.0,4.071005917159764
espanyol - barcelona,2.1379310344827585,3.004201680672269,3.8165680473372783
eurovision song contest classifica,1.0344827586206897,0.8361344537815126,0.7041420118343196
carol maltesi,0.0,0.16806722689075632,2.1242603550295858
angela nasti,0.0,0.0,0.8047337278106509
solet,1.7241379310344827,0.08823529411764706,0.42011834319526625
agenzia delle entrate 730 precompilato,4.827586206896552,1.718487394957983,16.449704142011836
edin džeko,0.0,0.2689075630252101,1.301775147928994
river plate - independiente del valle,0.0,0.33613445378151263,0.33727810650887574
oroscopo branko oggi,0.0,0.0,7.78698224852071
alcaraz musetti,37.6551724137931,2.4453781512605044,10.159763313609467
stasi alberto,0.3103448275862069,0.6050420168067226,3.633136094674556
jasmine paolini,2.793103448275862,1.638655462184874,7.6982248520710055
caduta giro d italia,1.7241379310344827,0.0,0.8461538461538461
espanyol,50.224137931034484,47.096638655462186,4.834319526627219
erika vikman,0.0,0.0,1.3905325443786982
meteo ciclone,0.0,0.10084033613445378,0.17751479289940827
occhi a cuore jovanotti,0.0,0.029411764705882353,0.029585798816568046
allerta vento,12.931034482758621,4.714285714285714,9.08284023668639
virus zika,1.7241379310344827,0.21008403361344538,0.3076923076923077
pagamento assegno unico maggio 2025,0.0,0.5714285714285714,4.715976331360947
buongiorno venerdì 16 maggio,1.7241379310344827,0.7605042016806722,2.289940828402367
axios,14.724137931034482,6.571428571428571,8.579881656804734
superenalotto 15 maggio 2025,0.0,0.6008403361344538,1.272189349112426
antonio conte juventus,1.7241379310344827,0.31092436974789917,1.0828402366863905
espanyol – barcelone,0.0,0.4369747899159664,0.17751479289940827
sciopero trenitalia,1.7241379310344827,1.050420168067227,10.414201183431953
istanbul russia ucraina,0.0,0.5504201680672269,3.035502958579882
notte dei musei 2025,0.0,0.08823529411764706,4.715976331360947
cesano boscone,0.5172413793103449,0.42016806722689076,8.029585798816568
ryan kiera armstrong,0.0,0.12605042016806722,0.1834319526627219
ambra angiolini,1.603448275862069,0.07563025210084033,0.3727810650887574
huawei watch fit 4,0.0,0.3907563025210084,4.763313609467455
vlahovic,2.706896551724138,0.5546218487394958,0.10059171597633136
fortitudo bologna - cantù,1.6896551724137931,0.42016806722689076,2.3491124260355027
anticipazioni che dio ci aiuti,1.7241379310344827,0.0,0.5088757396449705
