Rank,Entita,Score_Avg_now 1-H,Score_Avg_now 4-H,Score_Avg_now 7-d
1,val kilmer,74.2844827586207,44.15126050420168,2.1597633136094676
2,empoli - bologna,56.69827586206897,32.35294117647059,4.3609467455621305
3,real madrid - real sociedad,37.0,28.708273267465984,3.437869822485207
4,suor paola,50.3448275862069,38.08833198551387,4.677514792899409
5,stefano argentino,1.5344827586206897,1.3333743539256706,1.8579881656804733
6,ilaria sula,62.77586206896552,16.789915966386552,0.6538461538461539
7,luigi mangione,2.1379310344827585,6.823529411764706,4.420118343195266
8,paolo guzzanti,15.129310344827587,7.086134453781513,4.464497041420118
9,francesca mannocchi sclerosi multipla,6.301724137931035,5.932773109243698,1.8698224852071006
10,top gun,32.08620689655172,32.83403361344538,3.5857988165680474
11,nuovo tasto whatsapp,4.206896551724138,0.6428571428571429,5.458579881656805
12,nottingham forest - manchester united,0.8189655172413793,1.1487728982806513,1.5295857988165682
13,coppa del re,1.0344827586206897,2.9516806722689077,2.405325443786982
14,arsenal - fulham,1.4224137931034482,0.7983193277310925,2.0887573964497044
15,giovanni bagnasco,13.068965517241379,2.1323529411764706,1.304733727810651
16,bonus 1000 euro,2.387931034482759,2.913065644667909,1.0059171597633136
17,giovanni paolo ii,6.094827586206896,6.963336380577335,6.079881656804734
18,nuggets - timberwolves,3.1293103448275863,4.504201680672269,1.047337278106509
19,vincenzo sarno,0.8448275862068966,0.14245279701838895,0.9822485207100592
20,giornata mondiale autismo,3.7241379310344827,0.9894957983193278,3.396449704142012
21,dazi trump,25.413793103448278,0.47478991596638653,7.988165680473373
22,dazi,35.08620689655172,13.97689075630252,14.068047337278106
23,filippo bonacchi,1.7241379310344827,0.058823529411764705,1.7721893491124259
24,idris,0.6379310344827587,0.20121479554164762,1.5798816568047338
25,cory booker,0.0,0.5609243697478992,2.3520710059171597
26,finale coppa italia 2025,0.0,0.22478991596638656,2.7514792899408285
27,giulia penna,1.6120689655172413,0.3088235294117647,1.2899408284023668
28,gamestop,4.939655172413794,3.3769118526071518,20.355029585798817
29,angelo madonia,0.4827586206896552,0.19260047115080342,0.07988165680473373
30,sinodo,0.8620689655172413,0.03361344537815126,0.5295857988165681
31,2 aprile,69.95689655172413,47.39285714285714,4.739644970414201
32,cristiano iovino,0.0,0.5858971203544179,0.5946745562130178
33,3b meteo,78.25,40.757032101543544,29.014792899408285
34,psg,0.5603448275862069,1.8348247248690273,3.6863905325443787
35,tredici pietro psicofarmaci,0.3017241379310345,0.07773109243697479,1.982248520710059
36,lacerenza,3.1206896551724137,1.2891336450898352,6.026627218934911
37,grizzlies - warriors,0.0,0.4873949579831933,1.363905325443787
38,dallinga,0.25,0.4241236243451355,1.6331360946745561
39,generali,55.79310344827586,8.041102633522028,37.23372781065089
40,lucia bronzetti,0.1896551724137931,0.7773109243697479,1.1479289940828403
41,teams,54.8448275862069,15.661764705882353,25.215976331360945
42,estrazione lotto,25.0,15.764494919306635,7.6952662721893486
43,cristiano ronaldo inter,0.0,0.13445378151260504,1.1153846153846154
44,enrico rizzi,0.0,0.6386554621848739,1.5710059171597632
45,new zealand vs pakistan,1.5344827586206897,5.8844537815126055,4.035502958579881
46,richard norton,1.4827586206896552,0.20168067226890757,2.210059171597633
47,coppa di francia,0.0,0.2855824338103442,0.6005917159763314
48,risultati coppa italia,0.0,0.2668067226890756,0.15384615384615385
49,stai con me oggi,0.0,0.06694560669456066,0.9792899408284024
50,arera,3.525862068965517,1.3235294117647058,6.538461538461538
