Entita,Score_now_1-H_Run2,Score_now_4-H_Run2,Score_now_7-d_Run2
venezia - bologna,71.51724137931035,22.65546218487395,2.059171597633136
sampdoria - frosinone,54.56896551724138,4.785714285714286,1.5857988165680474
cosenza - pisa,52.53448275862069,24.365546218487395,1.621301775147929
andrea pucci,1.3103448275862069,6.651260504201681,2.331360946745562
como empoli,59.206896551724135,22.407563025210084,1.1479289940828403
venezia bologna,69.25862068965517,22.615062761506277,2.0177514792899407
modena - catanzaro,57.706896551724135,15.638655462184873,1.7633136094674555
cambio ora 2025,24.56896551724138,19.554621848739497,2.9585798816568047
29 marzo eclissi solare,3.103448275862069,4.285714285714286,2.7159763313609466
bayern monaco - fc st. pauli,20.775862068965516,10.365546218487395,0.10650887573964497
juve genoa,4.413793103448276,13.126050420168067,7.088757396449704
espanyol - atlético madrid,23.06896551724138,9.218487394957982,0.6982248520710059
roma - fiorentina,40.44827586206897,16.831932773109244,0.4319526627218935
eprice,1.396551724137931,7.739495798319328,1.834319526627219
scossa terremoto myanmar,4.431034482758621,11.53781512605042,6.27810650887574
assalto portavalori,0.6724137931034483,2.369747899159664,6.6923076923076925
richard jewell,1.5689655172413792,3.436974789915966,2.591715976331361
gil vicente - benfica,2.7413793103448274,0.1134453781512605,5.053254437869822
napoli milan,6.913793103448276,7.260504201680672,9.449704142011834
natasha stefanenko,16.46551724137931,0.5355648535564853,0.6035502958579881
messina - team altamura,2.5344827586206895,0.2803347280334728,0.2603550295857988
real sociedad - valladolid,2.3793103448275863,5.663865546218488,1.1715976331360947
pilar fogliati,0.41379310344827586,2.4831932773109244,3.1775147928994083
sciopero treni aprile 2025,0.0,0.5588235294117647,1.5798816568047338
crotone - latina,1.206896551724138,0.4117647058823529,1.532544378698225
fatima trotta,8.362068965517242,4.226890756302521,0.14792899408284024
the voice senior,7.689655172413793,4.07563025210084,2.2662721893491122
lecce roma,4.568965517241379,4.3277310924369745,6.076923076923077
intelligenza artificiale su whatsapp,5.810344827586207,0.28451882845188287,0.4260355029585799
fa cup,0.9310344827586207,0.1638655462184874,2.455621301775148
triestina - feralpisalò,2.9482758620689653,1.449579831932773,0.8284023668639053
superbike,4.241379310344827,10.752100840336135,2.63905325443787
gt vs mi,0.6206896551724138,1.3991596638655461,0.10650887573964497
le assaggiatrici (film),0.0,0.9831932773109243,0.4970414201183432
simona tagli,8.741379310344827,3.033613445378151,0.15384615384615385
nuove regole passaporto,9.051724137931034,1.3235294117647058,0.2781065088757396
la lista dei miei desideri film,0.0,0.6218487394957983,0.10059171597633136
ghibli,16.775862068965516,25.23949579831933,11.70414201183432
mantova sudtirol,0.10344827586206896,0.0546218487394958,0.1893491124260355
simona cavallari,1.4310344827586208,2.9411764705882355,0.6923076923076923
eid ul fitr 2025,3.6206896551724137,0.6512605042016807,1.7455621301775148
milan futuro,55.241379310344826,21.285714285714285,3.5088757396449703
spezia - brescia,0.0,0.2647058823529412,3.8698224852071004
wind warning,0.0,0.18067226890756302,2.502958579881657
goa,4.0,0.28991596638655465,0.9585798816568047
inter udinese,0.8620689655172413,0.5588235294117647,4.846153846153846
qualifiche motogp,0.5689655172413793,1.3235294117647058,0.9230769230769231
bayern monaco,41.793103448275865,7.109243697478991,6.449704142011834
fabio balaso,0.0,1.180672268907563,0.04142011834319527
fortnite,32.310344827586206,37.03361344537815,33.42011834319526
