Rank,Entita,Score_Avg_now 1-H,Score_Avg_now 4-H,Score_Avg_now 7-d,Discover_Score
5,amsterdam,43.91379310344828,12.53781512605042,25.837700760777686,21.975893842376223
18,cinese,14.663793103448276,7.689075630252101,38.107847280924204,15.89332407371687
1,kit sopravvivenza guerra europa,13.922413793103448,3.808823529411765,4.961115807269653,14.09504303081629
10,fantozzi,7.094827586206897,2.0252100840336134,11.924926035502958,6.234691018048339
2,jakub menšík,13.03448275862069,3.245798319327731,2.3200373344604115,5.976481167663035
15,fils,28.413793103448278,6.644957983193277,4.674010284587208,4.443128607198852
3,srh vs lsg,7.724137931034483,3.7983193277310923,1.0076253874330798,4.188103824121418
17,sciopero 28 marzo 2025,0.0,0.3970588235294118,8.81269371653987,3.532331961166382
31,alexander zverev,0.0,1.2941176470588236,6.620386024232179,2.572182047711597
48,copenaghen,0.8017241379310345,1.7815126050420167,5.677937447168217,2.17364867959527
12,egitto sottomarino turistico affondato,0.3448275862068966,3.4243697478991595,0.8382114680191604,2.051729091886071
41,george clooney,2.094827586206897,1.672268907563025,4.841064384333615,2.010165172208921
4,diego de vivo,0.0,0.48109243697478987,1.7087383770076077,1.9819533200619863
27,spinea,1.3448275862068966,2.05672268907563,3.4836045364891515,1.9627628513175794
22,le assaggiatrici film,0.0,0.45378151260504207,4.212859256128487,1.8072560108532423
13,arthur fils,1.7327586206896552,0.14915966386554622,3.5760249366018595,1.7904819828814702
37,patty pravo,0.0,1.6302521008403361,3.765374049027895,1.7582060930068257
9,nintendo direct,1.6293103448275863,1.9138655462184873,1.0115877712031558,1.7048027147250333
33,avengers doomsday cast,0.28448275862068967,0.13445378151260504,4.539342068188223,1.6089664712652745
21,avanti un altro by night,1.0689655172413794,0.48739495798319327,3.2961221470836857,1.5475417038901376
46,biglietti concerto lady gaga milano 2025,0.8017241379310345,0.1092436974789916,4.7273879966187655,1.5159501135762676
35,berrettini fritz,0.04310344827586207,0.18487394957983194,3.321076359537898,1.2574093751152413
40,pacers - lakers,0.0,0.0,3.5401873767258385,1.2225930438870218
28,blue bloods,2.344827586206897,0.8529411764705883,1.9033706677937445,1.1155277213286667
25,ameba,1.853448275862069,0.4852941176470589,2.1210904480135246,1.106899235051704
14,sara scaperrotta,0.6982758620689655,0.11764705882352941,1.78731684981685,1.0727142013312836
19,ginnastica ritmica emanuela maccarani,0.0,0.3130252100840336,1.8228021978021978,1.0467649047176164
26,alan cumming,0.0,0.5819327731092437,1.7360347985347984,1.0067147454620662
8,cindyana santangelo,0.0,0.5630252100840336,0.4897682445759369,0.9342665632971625
45,polizia postale,0.0,0.21008403361344538,2.3644512538743307,0.9336302143015177
47,jo squillo,0.9310344827586208,1.4894957983193278,1.0919625246548323,0.9251543159042059
